mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.07839453,0.06596606,-0.9947377,0,0.007143443,0.99782,0.0656075,0,-0.996897,0.001962591,0.07869482,0,5.794821,-1.225597,-7.350933,1,-0.07839447,0.007143449,-0.9968966,0,0.06596606,0.99782,0.001962583,0,-0.9947374,0.0656075,0.07869482,0,-6.777118,1.663806,6.357723,1,1.0,1.0,0.003595382,-0.003853966,-0.02010336,2.68,21,0.01136736699533117,-0.29255264021603433,0.9561818528241481,0.028403640985197372,-0.23694456214909887,0.9711078764209237
-0.07999885,0.07058355,-0.9942928,0,0.008046806,0.997503,0.07016401,0,-0.9967625,0.00238784,0.08036709,0,5.781329,-1.196064,-7.365887,1,-0.07999886,0.008046807,-0.9967624,0,0.07058355,0.997503,0.00238784,0,-0.9942927,0.07016401,0.08036707,0,-6.776926,1.663377,6.357442,1,1.0,1.0,0.003595321,-0.003764893,-0.02018926,2.7,22,0.009450228079725028,-0.2844727199068138,0.9586375565447353,0.026530564312995667,-0.22873452410554948,0.973127251000321
-0.08199418,0.0738223,-0.9938951,0,0.008567154,0.9972683,0.07336609,0,-0.9965961,0.002499264,0.08240271,0,5.765694,-1.174188,-7.381196,1,-0.08199424,0.008567163,-0.9965959,0,0.07382231,0.9972683,0.00249926,0,-0.9938949,0.07336608,0.08240263,0,-6.776699,1.663114,6.357232,1,1.0,1.0,0.003596275,-0.00365609,-0.02038307,2.72,23,0.006778938148640901,-0.2761950897196779,0.9610776859402761,0.023903178843997706,-0.22032722826563808,0.975133093749737
-0.08355451,0.07575966,-0.9936192,0,0.008052498,0.9971247,0.07534979,0,-0.9964707,0.001705308,0.08392429,0,5.755043,-1.155529,-7.392175,1,-0.08355449,0.008052502,-0.9964707,0,0.07575966,0.9971246,0.001705302,0,-0.9936192,0.07534979,0.08392432,0,-6.776605,1.662863,6.357085,1,1.0,1.0,0.003595292,-0.003608635,-0.02042159,2.74,24,0.004644962966875787,-0.27625918190902143,0.9610719477385625,0.021769440222312968,-0.2203893518042147,0.9751690238536729
-0.08491826,0.07744206,-0.993374,0,0.007193398,0.9969967,0.07710956,0,-0.9963621,0.0005977266,0.08522034,0,5.746506,-1.136656,-7.401743,1,-0.08491829,0.007193404,-0.9963619,0,0.07744205,0.9969966,0.0005977242,0,-0.9933738,0.07710956,0.08522028,0,-6.776689,1.66265,6.357058,1,1.0,1.0,0.003627221,-0.003557549,-0.02031718,2.76,25,0.0071741654919088805,-0.26753158807403865,0.9635223820607788,0.024341905156439157,-0.21153759094490507,0.9770666913115915
-0.08557665,0.07857518,-0.9932285,0,0.007315688,0.996908,0.07823596,0,-0.9963048,0.0005709827,0.08588696,0,5.741431,-1.128557,-7.406657,1,-0.08557671,0.007315699,-0.9963048,0,0.07857517,0.996908,0.0005709777,0,-0.9932283,0.07823595,0.08588687,0,-6.776491,1.662532,6.356994,1,1.0,1.0,0.003639146,-0.003548188,-0.02022148,2.8,26,0.002828099396732624,-0.26347519184105117,0.9646620263792512,0.020016836252612233,-0.20741776824004152,0.9780476448950514
-0.08544946,0.07913196,-0.9931951,0,0.008157652,0.9968632,0.07872237,0,-0.9963091,0.001375355,0.08582699,0,5.740994,-1.129857,-7.406808,1,-0.08544951,0.008157654,-0.9963091,0,0.07913196,0.9968632,0.001375356,0,-0.9931952,0.07872237,0.08582695,0,-6.776433,1.662562,6.357062,1,1.0,1.0,0.003659775,-0.003549225,-0.02020802,2.82,27,0.005004127645325067,-0.259524444050732,0.9657235741384114,0.02221143459616257,-0.20341462318855225,0.9788407139296157
-0.08467531,0.07928449,-0.9932492,0,0.009296346,0.9968488,0.0787793,0,-0.9963652,0.002562929,0.08514559,0,5.744945,-1.136285,-7.403053,1,-0.08467536,0.009296352,-0.9963652,0,0.07928449,0.9968487,0.002562927,0,-0.9932492,0.07877929,0.08514553,0,-6.776532,1.662505,6.357312,1,1.0,1.0,0.003669723,-0.003548722,-0.02016077,2.84,28,0.006274738977209354,-0.26045620728863134,0.9654652721540995,0.023477241545698982,-0.20436103497791971,0.978614013036886
-0.08370674,0.07985304,-0.9932858,0,0.01042431,0.9967997,0.07925706,0,-0.9964359,0.003719974,0.08427131,0,5.750294,-1.139788,-7.39836,1,-0.08370677,0.01042432,-0.9964359,0,0.07985304,0.9967996,0.003719972,0,-0.9932857,0.07925705,0.08427126,0,-6.776331,1.66257,6.357508,1,1.0,1.0,0.003701172,-0.003647919,-0.02009952,2.86,29,0.005563792575977923,-0.26545295310624345,0.9641077605223111,0.022742218699103776,-0.20942700789492075,0.9775597781480286
-0.08282483,0.08033365,-0.9933211,0,0.01109743,0.9967582,0.07968631,0,-0.9965024,0.004423309,0.08344781,0,5.755699,-1.140918,-7.394068,1,-0.0828248,0.01109743,-0.9965023,0,0.08033365,0.9967582,0.004423303,0,-0.9933209,0.0796863,0.08344781,0,-6.776314,1.662552,6.357632,1,1.0,1.0,0.003691482,-0.00369503,-0.02008302,2.88,30,0.006050909180727291,-0.2775175482012235,0.9607015129260847,0.023168562486752847,-0.22166842769161915,0.9748468217504855
