flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-6.792892,1.335068,9.999999,-6.884401,1.266546,9.999999,-6.83849,1.301148,9.999999,0.962785,0.0434606,0.2667513,0,-0.08564319,0.9851817,0.1486005,0,0.2563403,0.1659158,-0.9522403,0,4.716371,-2.605698,9.501897,1,0.9627849,-0.08564319,0.2563402,0,0.0434606,0.9851818,0.1659158,0,0.2667513,0.1486005,-0.9522403,0,-6.962249,1.559024,8.271421,1,1,1,0.3322102,0.0235208,0.9429121,-0.005472398,-0.003637085,-0.02274373,53.46,2422
0,-6.528141,1.222781,9.999999,-6.665571,1.189485,9.999999,-6.596539,1.206285,9.999999,0.9820381,0.0613171,0.1784417,0,-0.0917557,0.9815623,0.1676797,0,0.1648701,0.1810408,-0.9695577,0,5.60926,-2.60116,9.009325,1,0.982038,-0.0917557,0.16487,0,0.06131709,0.9815622,0.1810408,0,0.1784417,0.1676796,-0.9695576,0,-6.95665,1.557202,8.281178,1,1,1,0.3720174,-0.00408198,0.9282168,-0.005672935,-0.003783653,-0.02284993,53.48,2423
0,-6.498921,1.235016,9.738749,-6.575017,1.133453,9.999999,-6.498982,1.156186,9.999999,0.9926836,0.08062615,0.08988132,0,-0.09657909,0.9769659,0.1902897,0,0.07246866,0.1975781,-0.9776048,0,6.448862,-2.596359,8.433442,1,0.9926835,-0.09657907,0.07246866,0,0.08062613,0.9769658,0.1975781,0,0.08988132,0.1902896,-0.9776048,0,-6.950353,1.554582,8.290217,1,1,1,0.3354528,-0.006104937,0.9420373,-0.005401796,-0.003804581,-0.02274246,53.5,2424
0,-6.52558,1.204222,9.999999,-6.645622,1.153932,9.999999,-6.585536,1.179143,9.999999,0.9947002,0.102715,0.004603229,0,-0.1012804,0.9711274,0.2159951,0,-0.01771562,0.2153166,-0.9763836,0,7.21172,-2.579698,7.7992,1,0.9947002,-0.1012804,-0.01771561,0,0.102715,0.9711274,0.2153166,0,0.004603229,0.2159951,-0.9763836,0,-6.944427,1.551032,8.298223,1,1,1,0.2047549,0.02542603,0.978483,-0.004344581,-0.003670601,-0.0224057,53.52,2425
0,-6.486741,1.145843,9.999999,-6.704253,1.195765,9.706935,-6.567704,1.133813,9.999999,0.9885511,0.1315221,-0.07395022,0,-0.1098339,0.9632849,0.2449872,0,-0.1034564,0.2340602,-0.9667019,0,7.887678,-2.521792,7.137689,1,0.988551,-0.1098339,-0.1034564,0,0.1315221,0.9632849,0.2340601,0,-0.07395022,0.2449872,-0.9667019,0,-6.937867,1.546896,8.306299,1,1,1,0.1328696,0.02801605,0.9907376,-0.003826683,-0.003387879,-0.02291775,53.54,2426
0,-6.575902,1.139758,9.999999,-6.725648,1.118543,9.999999,-6.700562,1.200742,9.706935,0.982775,0.1485154,-0.1099841,0,-0.1156086,0.9583681,0.2610849,0,-0.1441803,0.2438726,-0.9590298,0,8.191829,-2.476686,6.803821,1,0.9827751,-0.1156086,-0.1441803,0,0.1485154,0.958368,0.2438726,0,-0.1099841,0.2610849,-0.9590299,0,-6.934587,1.544248,8.310164,1,1,1,0.04835913,0.03324177,0.9982767,-0.003313935,-0.003054718,-0.02374837,53.56,2427
0,-6.510132,1.06961,9.999999,-6.591563,1.070995,9.999999,-6.550888,1.070276,9.999999,0.9664764,0.1850224,-0.1780171,0,-0.126737,0.9467596,0.2959459,0,-0.223296,0.2634634,-0.93847,0,8.748216,-2.366197,6.117406,1,0.9664764,-0.126737,-0.223296,0,0.1850224,0.9467596,0.2634634,0,-0.1780171,0.295946,-0.93847,0,-6.928142,1.53852,8.31785,1,1,1,0.02839272,0.04032568,0.9987831,-0.003043014,-0.003299606,-0.0229087,53.58,2428
0,-6.260683,0.884972,9.999999,-6.510014,1.041417,9.630609,-6.322502,0.8930838,9.999999,0.9446548,0.2229606,-0.2406571,0,-0.1338028,0.9316229,0.3378987,0,-0.2995398,0.286997,-0.9098948,0,9.236649,-2.273014,5.391668,1,0.9446548,-0.1338029,-0.2995398,0,0.2229606,0.9316229,0.286997,0,-0.2406571,0.3378987,-0.9098948,0,-6.921108,1.531644,8.324943,1,1,1,0.07972667,0.01193901,0.9967452,-0.003378151,-0.003540573,-0.02324304,53.6,2429
0,-5.959145,0.7119031,9.887289,-6.094425,0.6783209,9.999998,-5.994657,0.6662904,10,0.9177847,0.2651086,-0.2956159,0,-0.1373627,0.9104856,0.3900609,0,-0.3725625,0.3173853,-0.8720458,0,9.658887,-2.198411,4.626661,1,0.9177847,-0.1373626,-0.3725624,0,0.2651086,0.9104856,0.3173853,0,-0.2956159,0.3900608,-0.8720457,0,-6.914247,1.523712,8.330942,1,1,1,0.1627709,-0.001433687,0.9866629,-0.003933318,-0.004115479,-0.02261692,53.62,2430
0,-6.203022,0.9078671,9.199536,-6.348059,0.9231397,9.214808,-6.27629,0.9154874,9.207156,0.8869096,0.3105942,-0.3419395,0,-0.1389311,0.8852967,0.4437881,0,-0.440556,0.3460939,-0.8283293,0,10.0094,-2.081082,3.870724,1,0.8869096,-0.1389311,-0.4405559,0,0.3105942,0.8852968,0.3460939,0,-0.3419395,0.4437881,-0.8283293,0,-6.907509,1.51521,8.336185,1,0.9742909,0.9629416,0.2102236,-0.02318245,0.9773784,-0.004313401,-0.004356422,-0.02282212,53.64,2431
