mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.5655807,0.0456025,0.8234311,0,0.02686998,0.9989588,-0.03686754,0,0.8242551,-0.001274003,0.5662173,0,-10.34879,-1.328689,0.2838626,1,-0.5655808,0.02686998,0.8242551,0,0.0456025,0.9989589,-0.001274007,0,0.8234312,-0.03686754,0.5662172,0,-6.026231,1.615842,8.367627,1,1.0,1.0,0.003588059,-0.003429214,-0.01962069,86.14,3964,-0.33574656668020036,-0.05881188702965082,0.940114570095831,-0.33574656668020036,-0.05881188702965082,0.940114570095831
-0.5635977,0.05129817,0.8244551,0,0.02722901,0.9986812,-0.04352489,0,0.8256006,0.002081431,0.5642513,0,-10.35124,-1.322008,0.3207793,1,-0.5635977,0.02722901,0.8256004,0,0.05129816,0.9986812,0.002081434,0,0.8244551,-0.04352489,0.5642511,0,-6.030585,1.616081,8.367737,1,1.0,1.0,0.003511284,-0.003457596,-0.01960522,86.16,3965,-0.33960250978451767,-0.07131840470273526,0.9378613013120403,-0.33960250978451767,-0.07131840470273526,0.9378613013120403
-0.5578361,0.06075471,0.8277246,0,0.02697233,0.9981174,-0.05508378,0,0.8295129,0.008402053,0.5584246,0,-10.35277,-1.316951,0.4133325,1,-0.5578359,0.02697233,0.8295128,0,0.06075469,0.9981173,0.008402052,0,0.8277243,-0.05508376,0.5584245,0,-6.037261,1.616477,8.368003,1,0.9645558,0.9963954,0.003508638,-0.003482376,-0.01961165,86.2,3966,-0.3371755314329564,-0.07599431906527775,0.9383696097341965,-0.3371755314329564,-0.07599431906527775,0.9383696097341965
-0.5517223,0.06740676,0.8312997,0,0.02582135,0.9976314,-0.06375666,0,0.8336283,0.01371068,0.552156,0,-10.3511,-1.320469,0.5051336,1,-0.551722,0.02582135,0.8336279,0,0.06740674,0.9976313,0.01371068,0,0.8312995,-0.06375664,0.5521558,0,-6.041841,1.616827,8.368161,1,0.9631052,0.9864628,0.003496788,-0.003487938,-0.0196068,86.22,3967,-0.3360722783462483,-0.07944994307151027,0.9384791581452917,-0.3360722783462483,-0.07944994307151027,0.9384791581452917
-0.5436937,0.07434218,0.8359848,0,0.02375243,0.9970332,-0.07321614,0,0.8389477,0.01995047,0.5438464,0,-10.34642,-1.329812,0.6218357,1,-0.5436935,0.02375243,0.8389475,0,0.07434217,0.9970331,0.01995047,0,0.8359847,-0.07321613,0.5438464,0,-6.046267,1.617148,8.368454,1,0.961696,0.9956264,0.003491617,-0.003492508,-0.01960969,86.24,3968,-0.3389832084299559,-0.08131556978090992,0.9372716588661683,-0.3389832084299559,-0.08131556978090992,0.9372716588661683
-0.5334594,0.08399865,0.8416443,0,0.02182527,0.9960923,-0.0855795,0,0.845544,0.02728408,0.5332081,0,-10.33947,-1.331524,0.7686906,1,-0.5334594,0.02182528,0.845544,0,0.08399864,0.9960923,0.02728408,0,0.8416443,-0.08557951,0.5332081,0,-6.050807,1.617767,8.368936,1,0.9705837,0.9881614,0.003459794,-0.003523079,-0.01959291,86.25999,3969,-0.33784771669636915,-0.10091246206003038,0.9357753979048781,-0.33784771669636915,-0.10091246206003038,0.9357753979048781
-0.5271652,0.08986811,0.8449976,0,0.02121329,0.9954739,-0.09263749,0,0.8494982,0.03091006,0.5266856,0,-10.33489,-1.32554,0.8568239,1,-0.5271651,0.0212133,0.849498,0,0.08986808,0.9954739,0.03091007,0,0.8449973,-0.09263746,0.5266855,0,-6.053082,1.618151,8.369163,1,0.9762147,0.9924973,0.003257286,-0.003404228,-0.01952898,86.28,3970,-0.31068378937080793,-0.0804555908048472,0.9471021491531093,-0.31068378937080793,-0.0804555908048472,0.9471021491531093
-0.5133709,0.1020262,0.8520805,0,0.02002063,0.9940612,-0.1069644,0,0.8579335,0.03785322,0.5123647,0,-10.32288,-1.308171,1.046494,1,-0.5133708,0.02002063,0.8579332,0,0.1020262,0.9940612,0.03785322,0,0.8520803,-0.1069644,0.5123646,0,-6.057691,1.61901,8.369668,1,0.9627049,0.9952102,0.002791199,-0.003104553,-0.01934424,86.3,3971,-0.25907673853289476,-0.04572853760841901,0.9647736233953298,-0.25907673853289476,-0.04572853760841901,0.9647736233953298
-0.4981319,0.114407,0.8595207,0,0.01818121,0.9924176,-0.1215594,0,0.8669107,0.0449255,0.4964349,0,-10.3055,-1.290026,1.252345,1,-0.4981318,0.01818121,0.8669106,0,0.114407,0.9924177,0.04492549,0,0.8595206,-0.1215594,0.4964348,0,-6.062325,1.619845,8.370194,1,0.9401812,0.9458851,0.002421868,-0.00281369,-0.01959106,86.32,3972,-0.18514495095820974,0.01510628087591874,0.9825951085837848,-0.18514495095820974,0.01510628087591874,0.9825951085837848
-0.4819797,0.1272714,0.8668897,0,0.01637045,0.9905294,-0.1363217,0,0.8760296,0.0515129,0.4794985,0,-10.28369,-1.264418,1.466577,1,-0.4819796,0.01637045,0.8760294,0,0.1272714,0.9905294,0.05151292,0,0.8668895,-0.1363217,0.4794985,0,-6.066962,1.620718,8.370724,1,0.9375857,0.9241958,0.001666916,-0.00224569,-0.02072403,86.34,3973,-0.010927941018947496,0.04476391094506994,0.9989378220800272,-0.010927941018947496,0.04476391094506994,0.9989378220800272
